,cep,up_lat,up_long
0,01037000,-23.543923,-46.6381452
1,01046000,-12.8407217,-38.4680175
2,01041000,-7.245589,-42.5469777
3,01035000,-23.3094779,-45.9838397
4,01012000,-23.5470282,-46.6349013
5,01047000,-27.2193224,-49.6487891
6,01013000,-25.4319606,-49.2736182
7,01029000,-23.5359503,-46.6330675
8,01011000,-7.2115595,-39.3924611
9,01032000,-23.5356662,-46.6339209
10,01014000,-23.8344472,-46.8205187
11,01039000,-16.6613183,-49.3263798
12,01024000,-23.5369066,-46.6280225
13,01009000,-19.8637089,-43.9459392
14,01020000,-23.5521762,-46.6274643
15,01043000,-25.1737081,-49.3178891
16,01050000,-22.9141579,-43.2690538
17,01045000,-23.543171200000003,-46.64252052009493
18,01007000,-5.090351,-42.8183067
19,01005000,-20.8896804,-47.5961949
20,01017000,-23.5463699,-46.6224885
21,01019000,-22.9258341,-43.1777591
22,01027000,-23.5383314,-46.6307679
23,01033000,-23.5392105,-46.636275
24,01006000,-23.5505941,-46.6351985
25,01034000,-23.5423605,-46.6377684
26,01042000,-22.3308198,-49.0287924
27,01040000,-16.6613183,-49.3263798
28,01026000,-23.5392342,-46.634356
29,01036000,-23.3094779,-45.9838397
30,01048000,-23.5460507,-46.6388828
31,01002000,40.8168298,-7.5446924
32,01031000,-23.642733,-46.5390207
33,01022000,-23.5446833,-46.6332198
34,01008000,-19.8637089,-43.9459392
35,01010000,-7.2115595,-39.3924611
36,01003000,-25.3651025,-49.2039847
37,01001000,-23.550389799999998,-46.633080956332904
38,01015000,-20.5359546,-47.3994465
39,01038000,-23.5432427,-46.6392474
40,01016000,-23.549399,-46.632193
41,01049000,-5.1074026,-42.8327039
42,01021000,-3.1240529,-40.1495669
43,01018000,-3.5652767,-41.091356131091004
44,01044000,-25.1737081,-49.3178891
45,01030000,-23.5359503,-46.6330675
46,01025000,-23.539918,-46.6280462
47,01004000,-23.5494292,-46.6349474
48,01023000,-23.6548103,-46.7026126
49,01028000,-23.6462772,-46.5752912
50,01155000,-23.5412209,-46.664585
51,01122000,-23.5324023,-46.6328498
52,01150000,-23.5320338,-46.6626437
53,01123000,-19.9981822,-43.969911
54,01139000,-23.5150202,-46.6901928
55,01153000,-23.5350069,-46.6498004
56,01104000,-12.9351982,-38.4853829
57,01136000,-12.6967997,-38.1373041
58,01130000,-23.528283,-46.6428891
59,01103000,-22.1991451,-49.9546378
60,01156000,-23.5299793,-46.6645213
61,01151000,-23.5272693,-46.6607021
62,01140000,-23.5243124,-46.6649005
63,01120000,-19.828794,-43.9359436
64,01106000,-23.5311219,-46.6318321
65,01124000,-5.1281441,-42.7818605
66,01131000,-22.3627638,-47.3924086
67,01121000,-23.5329297,-46.6368773
68,01141000,-23.5198562,-46.6657869
69,01125000,38.7206189,-9.1301224
70,01102000,-22.8672574,-43.2328118
71,01127000,-23.3981816,-47.0033478
72,01137000,-29.1721125,-51.1470489
73,01135000,-23.6422244,-46.5152724
74,01138000,-23.5236976,-46.6584497
75,01128000,-23.5256884,-46.6474957
76,01109000,-23.2962499,-51.200386
77,01132000,-19.9307242,-43.9217899
78,01108000,-23.5575713,-46.6177702
79,01107000,-23.5575713,-46.6177702
80,01154000,-23.5396349,-46.661481
81,01152000,-23.5263929,-46.6605324
82,01134000,-23.5236896,-46.6503485
83,01144000,-23.5221559,-46.6735594
84,01129000,-27.2201727,-49.6564283
85,01105000,-23.5354752,-46.6176826
86,01126000,-22.8946316,-43.484999
87,01142000,-22.9955937,-51.1910567
88,01133000,-23.5236896,-46.6503485
89,01101000,-19.7624825,-47.959133
90,01202000,-23.5381228,-46.6446712
91,01230000,-23.5331459,-46.6546089
92,01221000,-23.5467941,-46.647965
93,01217000,-23.5352603,-46.640694
94,01243000,-10.9184671,-37.0722192
95,01203000,-23.5332521,-46.6473654
96,01214000,-30.0335351,-51.2290616
97,01257000,-23.5419893,-46.688849
98,01231000,-23.5391932,-46.6580478
99,01216000,-23.5301631,-46.6423551
100,01226000,-22.9160738,-43.687174
101,01220000,-23.5455917,-46.6455747
102,01223000,-23.5438301,-46.6445418
103,01213000,-29.9032554,-50.2652584
104,01227000,-23.5444996,-46.6570932
105,01240000,-4.1480451,-45.1162528
106,01258000,-23.536794,-46.6797118
107,01222000,-23.5455101,-46.6442384
108,01211000,-23.3094779,-45.9838397
109,01244000,-14.7988756,-39.2790101
110,01238000,-23.5447433,-46.6537622
111,01204000,-19.4743045,-42.5554508
112,01234000,-23.5412209,-46.664585
113,01228000,-23.5444996,-46.6570932
114,01224000,-19.8983003,-43.9444792
115,01229000,-23.5377662,-46.6626725
116,01232000,-23.5379005,-46.6526398
117,01218000,-23.5291324,-46.6440865
118,01215000,-23.5336778,-46.6445782
119,01239000,-7.3987118,-35.2774671
120,01205000,-9.9236852,-67.8375622
121,01201000,-22.924837,-47.0232634
122,01259000,-8.0878732,-34.9292868
123,01210000,-28.4917789,-50.9403197
124,01249000,-23.550384,-46.6708018
125,01248000,-22.3061222,-49.0560363
126,01233000,-24.0198383,-46.4600913
127,01219000,-23.5420134,-46.6452572
128,01235000,-22.8306295,-43.3869879
129,01209000,-19.9963749,-44.0115349
130,01236000,-23.5437746,-46.6678304
131,01206000,-9.9236852,-67.8375622
132,01207000,-23.5375172,-46.6398642
133,01251000,-23.5447112,-46.6736632
134,01242000,-9.8848953,-36.8249761
135,01241000,-5.0776339,-42.8220644
136,01208000,-30.0296388,-51.2232103
137,01254000,-23.5390921,-46.6835744
138,01255000,-23.5559941,-46.6657631
139,01245000,-22.9153399,-43.5397624
140,01225000,-23.5407327,-46.648605
141,01252000,-23.5415561,-46.677501495602215
142,01237000,-23.5442904,-46.6733302
143,01250000,-22.9844775,-43.2168455
144,01247000,-22.8328498,-43.2903573
145,01246000,-23.5559941,-46.6657631
146,01253000,-22.9253711,-43.2663916
147,01256000,-22.8853048,-43.5928067
148,01303000,-3.7732052,-38.5634273
149,01309000,-23.5565553,-46.6594056
150,01310000,-23.5577504,-46.6604517
151,01323000,-23.5656441,-46.6416608
152,01321000,-23.5606849,-46.6413549
153,01333000,-23.5629535,-46.6525533
154,01314000,-9.4142246,-40.5115975
155,01331000,-23.563077,-46.6505033
156,01307000,-19.907047,-43.9574328
157,01318000,-23.5608901,-46.6437527
158,01322000,-23.5609606,-46.6426224
159,01308000,-22.9654356,-43.1808494
160,01306000,-21.4582335,-49.950065
161,01301000,-23.5523389,-46.6586195
162,01302000,-23.5523389,-46.6586195
163,01312000,-23.5800024,-46.677715
164,01319000,-22.9071874,-43.2964057
165,01316000,-23.5539282,-46.6396395
166,01317000,-23.5608901,-46.6437527
167,01313000,-23.5800024,-46.677715
168,01324000,-23.5546482,-46.6430661
169,01327000,-4.8697941,-44.3564855
170,01304000,38.7092227,-9.1371124
171,01332000,-8.1057954,-34.9146977
172,01326000,-17.2104378,-46.8603346
173,01315000,40.7683385,-8.5555287
174,01325000,-22.9063123,-43.3069416
175,01329000,-12.9063935,-38.3746611
176,01330000,-23.558998,-46.6496357
177,01311000,-23.5577504,-46.6604517
178,01305000,38.7092227,-9.1371124
179,01320000,-23.559231,-46.6377949
180,01328000,-23.557732,-46.6454575
181,01402000,-23.5608901,-46.6437527
182,01421000,-23.5350903,-47.5959028
183,01403000,-23.5642086,-46.648964
184,01409000,-23.5651589,-46.6614571
185,01411000,-23.5631339,-46.6635556
186,01452000,-23.5900079,-46.6814462
187,01423000,-23.5656257,-46.6607381
188,01408000,-27.0949848,-48.6207288
189,01455000,-9.404168,-38.2367899
190,01401000,-23.5608901,-46.6437527
191,01410000,-23.5600635,-46.657986
192,01453000,-23.5867292,-46.6900398
193,01415000,-23.5553586,-46.660656
194,01416000,-23.5523389,-46.6586195
195,01445000,-8.1130694,-34.89864
196,01424000,-23.5371686,-47.5972142
197,01422000,-23.5648196,-46.6600444
198,01419000,-23.5699059,-46.6482478
199,01414000,-22.921465,-43.2202288
200,01420000,-23.5655349,-46.6555483
201,01451000,-23.5900079,-46.6814462
202,01446000,-8.0999212,-34.9159777
203,01406000,-23.5800024,-46.677715
204,01454000,-23.5867292,-46.6900398
205,01426000,-23.5618789,-46.6703913
206,01413000,38.7092227,-9.1371124
207,01433000,-23.2635455,-47.2963062
208,01427000,-25.3555902,-49.2031705
209,01405000,-23.567204,-46.6571638
210,01435000,-25.3570702,-49.2007518
211,01449000,36.7009968,-4.4502455
212,01425000,-21.778301,-43.3356662
213,01430000,-22.847633899999998,-43.248052597764506
214,01404000,-23.564924,-46.6522717
215,01442000,-23.575946,-46.6901882
216,01407000,-23.5800024,-46.677715
217,01418000,-23.5699059,-46.6482478
218,01443000,-23.5713171,-46.6890995
219,01428000,-25.7330465,-48.4924788
220,01434000,-19.9573396,-43.936531
221,01457000,-22.8346977,-43.6149256
222,01412000,38.7092227,-9.1371124
223,01448000,-23.5823488,-46.6848106
224,01456000,-23.5756075,-46.69293
225,01432000,-22.9086107,-47.0795596
226,01441000,-23.575946,-46.6901882
227,01429000,-21.7543278,-43.3608274
228,01450000,-19.4922256,-42.52359
229,01440000,-20.419079,-49.9617825
230,01438000,-20.1821237,-48.6831235
231,01444000,-28.4640568,-49.0347531
232,01436000,-5.098712,-42.7844953
233,01447000,-9.4025055,-38.2374514
234,01439000,-5.1072186,-42.787589
235,01431000,-22.847633899999998,-43.248052597764506
236,01437000,-22.9064856,-43.1760789
237,01526000,-23.5652471,-46.6314261
